(width (cm), height (cm))
(18.137772263313835, 44.951493566608946)
(26.648661832322336, 41.49878057639454)
(26.180524428318897, 39.38100083914504)
(24.44364396490554, 40.175758410355904)
(21.201902279430513, 36.21004195868266)
(25.691541582957697, 37.24697337031557)
(19.338626083150515, 38.38085562147455)
(23.21718300802926, 40.88308718457233)
(23.444684475950478, 37.30114732596577)
(29.445791130252964, 37.20217384451559)
(28.51023528453833, 35.709930860090324)
(21.16066860901309, 41.31102957270099)
(24.00703335660358, 37.28941783811155)
(20.143822566361578, 44.054200130061275)
(28.951534072137846, 43.59635400253747)
(28.4462228380412, 35.70857349888654)
(21.581337497383593, 37.380046343689955)
(25.66739393839206, 41.68977778296281)
(25.30764253725807, 37.14236807370439)
(19.834071222595618, 36.32311848725025)
(27.150129600901813, 44.35514240580671)
(24.472548361435507, 40.710430933252844)
(27.3435177435667, 39.726710263117944)
(24.36424406634213, 42.846194242907536)
(18.006862753535323, 43.074969977666434)
(21.889872684056076, 36.90409914361878)
(18.233720908629987, 35.969308142288234)
(29.149183395175406, 39.310511824063774)
(28.54466253387821, 39.23578623019921)
(27.97998635233415, 39.67024668036675)
(21.690169504831935, 42.290758494598506)
(18.69510199793025, 41.73364547293301)
(28.536115190448484, 44.84165211365966)
(29.36339334357593, 35.98417871151959)
(19.027841424814547, 39.02621282102269)
(23.831885559799368, 38.39302605394963)
(18.830550221620605, 43.61672536352791)
(27.12722598308678, 37.48656333920286)
(27.190013151683853, 36.90208908440812)
(19.540697573997154, 39.48613547833132)
(23.703388537184775, 39.21881639834404)
(24.597643121939328, 37.785451446669406)
(21.18067954728071, 37.49806447882101)
(28.46919649302309, 44.23265599276013)
(23.077655282410642, 39.43130745053457)
(20.541578465304983, 43.613491047618304)
(24.4715530653535, 40.50325312449848)
(26.759172829079716, 35.505883295248815)
(20.41381276067635, 44.992824684127264)
(21.74059549561074, 43.36027585079952)
